MESSAGE_ID,MESSAGE_LOCATION,USER_LOCATION
"tag:search.twitter.com,2005:774984451076087810",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:681381324226039808",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:767747230249943040",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:772484942819233792",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:777533786347024385",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771276037451689984",,POINT (76.9661200 11.0055500)
"tag:search.twitter.com,2005:771676791903703041",,POINT (103.8000001 1.3666701)
"tag:search.twitter.com,2005:771372451922059264",,POINT (88.3630400 22.5626299)
"tag:search.twitter.com,2005:775407978027638785",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771704760747425793",,POINT (77.5936901 12.9719401)
"tag:search.twitter.com,2005:646750445071912960",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:681080530532569088",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:772812758320607232",,POINT (77.7193400 28.9715500)
"tag:search.twitter.com,2005:771940519656194048",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:770268974596534273",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771357029877354496",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:657977573054377984",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:771619002363748352",,POINT (78.4563600 17.3840499)
"tag:search.twitter.com,2005:777099285389250560",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771570105570369536",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:777127717737107456",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771508570512908288",,POINT (-61.1999999 13.0833300)
"tag:search.twitter.com,2005:681382481849937920",,POINT (10.5000000 51.5000000)
"tag:search.twitter.com,2005:772849923628818433",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:774205651849469952",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:759648945689792512",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771303013143097344",,POINT (75.7878099 26.9196201)
