MESSAGE_ID,URL,EXPANDED_URL
"tag:search.twitter.com,2005:611929248970862592",http://t.co/lna3EycTYh,http://bit.ly/1TB5LA3
"tag:search.twitter.com,2005:699245109074751489",https://t.co/rAFfEOYVo5,http://telecom.economictimes.indiatimes.com/news/reliance-jio-airtel-could-offer-own-apps-via-intranets-at-lower-cost-or-even-free-experts/50924949
"tag:search.twitter.com,2005:768933363092561920",https://t.co/D2Lq2aFphH,https://lnkd.in/eZ_5mXR
"tag:search.twitter.com,2005:770268974596534273",https://t.co/7SlHgiTRMs,http://bit.ly/2buqd9C
"tag:search.twitter.com,2005:772017385712660480",https://t.co/76AblS15Bc,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:772849923628818433",https://t.co/jY0QoqQJfm,https://lnkd.in/fA4aZFz
"tag:search.twitter.com,2005:609294496661028865",https://t.co/aDECB1moJK,https://twitter.com/NDTVGadgets/status/609277496723288064
"tag:search.twitter.com,2005:659629564688109568",https://t.co/XvQUuVISX7,http://fb.me/7zu4JZWvC
"tag:search.twitter.com,2005:752465361241575426",https://t.co/r1528xZ49c,http://buff.ly/29BplxB
"tag:search.twitter.com,2005:756057523388461056",https://t.co/96q1kfOMoJ,http://goo.gl/EdfpN
"tag:search.twitter.com,2005:763663439449300992",https://t.co/P74V6UZdHb,http://bit.ly/2aIzEwi
"tag:search.twitter.com,2005:764002502807216128",https://t.co/WrLEHKHERp,http://goo.gl/fb/Av5qmD
"tag:search.twitter.com,2005:771603510248951808",https://t.co/pnQGPPzYYa,http://youtu.be/e6_yVgiw4PA?a
"tag:search.twitter.com,2005:772088188114350080",https://t.co/sYi1z4w97d,http://newsletterlog.com/will-reliance-jio-really-reduce-your-phone-bill-or-just-eyewash/
"tag:search.twitter.com,2005:774804498220916738",https://t.co/tpQvVaTeDQ,http://fb.me/4wLHR0YbX
"tag:search.twitter.com,2005:776137388485521408",https://t.co/YBbbuayJdK,http://fb.me/7Hw0u3uBc
"tag:search.twitter.com,2005:613260300918333440",https://t.co/Vy7ktO5058,https://twitter.com/firstpost/status/613258471757078528
"tag:search.twitter.com,2005:646750445071912960",http://t.co/tdo7sRoJ9k,http://m.goanews.com/news_details.php?id=6089#.VgLsxb1CFgs.twitter
"tag:search.twitter.com,2005:768035162923950082",https://t.co/GmgSIC9ivs,https://twitter.com/sanjaybafna/status/768029998510907392
"tag:search.twitter.com,2005:771996582405214208",https://t.co/BIiaSIGxwN,http://bit.ly/2bRQT09
"tag:search.twitter.com,2005:771990953234227200",https://t.co/76AblS15Bc,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:771964457794826240",https://t.co/76AblS15Bc,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:778303241901801473",https://t.co/2g5d3NjigF,http://youtu.be/k23b1tLbSsk?a
"tag:search.twitter.com,2005:756055949278781440",https://t.co/RQI50P3MAp,http://bit.ly/2aeujyC
"tag:search.twitter.com,2005:772122677850939392",https://t.co/Gb6j6J2pj9,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:773472683380056068",https://t.co/gcB7r6HOIx,http://goo.gl/fb/kktFkP
"tag:search.twitter.com,2005:609294405195972608",https://t.co/aDECB1moJK,https://twitter.com/NDTVGadgets/status/609277496723288064
"tag:search.twitter.com,2005:643515182539481090",http://t.co/n1q9ZxdmiS,http://ow.ly/348dDp
"tag:search.twitter.com,2005:681432020359090176",https://t.co/zhzpa5XNg5,https://twitter.com/doucheslayer/status/681425921643909120
"tag:search.twitter.com,2005:770266070032625670",https://t.co/6ERreCf6fy,http://goo.gl/Wmi3OL
"tag:search.twitter.com,2005:770980024040030208",https://t.co/7EYiokjUrl,http://2pb.in/Jio4gSupport
"tag:search.twitter.com,2005:771950339784400896",https://t.co/Gb6j6J2pj9,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:771964261526626305",https://t.co/76AblS15Bc,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:772348893883498496",https://t.co/cWHFnBTIiK,http://go.shr.lc/2cz3eKY
"tag:search.twitter.com,2005:772884853364842496",https://t.co/BOZovahTJ6,https://twitter.com/devpateldestiny/status/772846690625785856
"tag:search.twitter.com,2005:774215772289638400",https://t.co/MSXsFRzfU4,http://youtube.com/watch?v=ecTyfjExuGM&feature=youtu.be
"tag:search.twitter.com,2005:774215772289638400",https://t.co/XXxbc5ivi1,http://technitab.com/how-to-activate-your-reliance-jio-sim-or-unlimited-data-voice/
"tag:search.twitter.com,2005:778816207797440513",https://t.co/81mSZxE5Ti,http://www.financeminutes.com/reliance-jio-plans-marketing-stunt-or-real-consumer-benefit/
"tag:search.twitter.com,2005:763642448627150848",https://t.co/BoTuPbi61v,http://zd.net/2aYdF56
"tag:search.twitter.com,2005:770839506903760896",https://t.co/s5gQhTiLrn,http://misbfinance.blogspot.in/
"tag:search.twitter.com,2005:771266918225317888",https://t.co/grP8IzpN6c,http://www.medianama.com/2016/09/223-reliance-jio-launch/
"tag:search.twitter.com,2005:771680603272056832",https://t.co/XwizcKoBX1,http://www.livemint.com/Money/vQ05ux9lj6a483J1UVuYZK/Reliance-Jio-sets-the-cat-among-the-pigeons.html
"tag:search.twitter.com,2005:771964823118680064",https://t.co/76AblS15Bc,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:771949471542480896",https://t.co/ltbg7ACCgI,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:772049710794153984",https://t.co/76AblRJucC,http://thewire.in/63694/modi-reliance-jio-advertisement/
"tag:search.twitter.com,2005:777202568451817472",https://t.co/YqdIohwe11,https://twitter.com/htTweets/status/777199564440776704
"tag:search.twitter.com,2005:778937248704237568",https://t.co/EQnbjqxTGq,https://storify.com/RoohiAgni/the-reliance-jio-modi-newspaper-and-tv-campaign-il
